奥迪RS 4
基本信息
车款名称,"21款 2.9T Avant 暗金版
","21款 2.9T Avant 黑曜版
","21款 2.9T Avant
"
变速箱类型,"手自一体
","手自一体
","手自一体
"
挡位个数,"8
","8
","8
"
底盘制动
驱动形式,"全时四驱
","全时四驱
","全时四驱
"
前悬架类型,"多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
"
后悬架类型,"多连杆式独立悬架
","多连杆式独立悬架
","多连杆式独立悬架
"
助力类型,"电动助力
","电动助力
","电动助力
"
可调悬架功能,"○
","○
","○
"
可调悬架种类,"-
","-
","-
"
前轮制动类型,"通风盘
","通风盘
","通风盘
"
后轮制动类型,"通风盘
","通风盘
","通风盘
"
驻车制动类型,"电子驻车
","电子驻车
","电子驻车
"
车体结构,"承载式
","承载式
","承载式
"
限滑差速器/差速锁,"后桥
","后桥
","后桥
"
安全配置
防抱死制动(ABS),"●
","●
","●
"
制动力分配(EBD/CBC等),"●
","●
","●
"
制动辅助(BA/EBA等),"●
","●
","●
"
牵引力控制(ARS/TCS等),"●
","●
","●
"
车身稳定控制(ESP/DSC等),"●
","●
","●
"
主驾驶安全气囊,"●
","●
","●
"
副驾驶安全气囊,"●
","●
","●
"
前侧气囊,"●
","●
","●
"
后侧气囊,"●
","●
","●
"
侧安全气帘,"●
","●
","●
"
膝部气囊,"-
","-
","-
"
安全带气囊,"-
","-
","-
"
后排中央气囊,"-
","-
","-
"
被动行人保护,"-
","-
","-
"
胎压监测,"●
","●
","●
"
零胎压续行轮胎,"-
","-
","-
"
儿童座椅接口(ISO FIX/LATCH),"●
","●
","●
"
驾驶辅助
前倒车雷达,"●
","●
","●
"
后倒车雷达,"●
","●
","●
"
倒车车侧预警系统,"●
","●
","●
"
驻车影像系统,"●后方影像
","●后方影像
","●后方影像
"
巡航系统,"●定速巡航
○ACC自适应巡航
","●定速巡航
○ACC自适应巡航
","●定速巡航
○ACC自适应巡航
"
驾驶模式选择,"●
","●
","●
"
车道保持,"○
","○
","○
"
车道偏离预警,"○
","○
","○
"
道路交通标识识别,"-
","-
","-
"
并线辅助,"●
","●
","●
"
碰撞报警/主动刹车,"○
","○
","○
"
疲劳提醒,"-
","-
","-
"
自动泊车,"-
","-
","-
"
遥控泊车,"-
","-
","-
"
发动机启停,"●
","●
","●
"
自动驾驶辅助,"-
","-
","-
"
自动驻车,"●
","●
","●
"
上坡辅助,"●
","●
","●
"
陡坡缓降,"-
","-
","-
"
夜视系统,"-
","-
","-
"
可变齿比转向,"●
","●
","●
"
整体主动转向系统,"-
","-
","-
"
外部配置
近光灯光源,"●LED
","●LED
","●LED
"
远光灯光源,"●LED
","●LED
","●LED
"
灯光特色功能,"●矩阵式
","●矩阵式
","●矩阵式
"
LED日间行车灯,"●
","●
","●
"
大灯功能,"●自动开闭
●自动远近光
●自动转向
","●自动开闭
●自动远近光
●自动转向
","●自动开闭
●自动远近光
●自动转向
"
前雾灯,"-
","-
","-
"
大灯调节/清洗,"●高度调节
●大灯清洗
","●高度调节
●大灯清洗
","●高度调节
●大灯清洗
"
天窗类型,"●全景天窗
","●全景天窗
","●全景天窗
"
运动外观套件,"●
","●
","●
"
轮圈材质,"铝合金轮圈
","铝合金轮圈
","铝合金轮圈
"
前电动车窗,"●
","●
","●
"
后电动车窗,"●
","●
","●
"
车窗一键升降,"●全车
","●全车
","●全车
"
车窗防夹手功能,"●
","●
","●
"
多层隔音玻璃,"-
","-
","-
"
外后视镜电动调节,"●电动调节
●电动折叠
●后视镜记忆
●后视镜加热
","●电动调节
●电动折叠
●后视镜记忆
●后视镜加热
","●电动调节
●电动折叠
●后视镜记忆
●后视镜加热
"
外后视镜自动防眩目,"●
","●
","●
"
内后视镜自动防眩目,"●
","●
","●
"
流媒体内后视镜,"-
","-
","-
"
流媒体外后视镜,"-
","-
","-
"
隔热/隐私玻璃,"○选配6000元
","○选配6000元
","○选配6000元
"
后排侧遮阳帘,"-
","-
","-
"
后遮阳帘,"-
","-
","-
"
前雨刷器,"●感应雨刷
","●感应雨刷
","●感应雨刷
"
后雨刷器,"●后雨刷
","●后雨刷
","●后雨刷
"
可加热喷水嘴,"-
","-
","-
"
电吸门,"-
","-
","-
"
电动侧滑门,"-
","-
","-
"
行李厢开启功能,"●电动开合
","●电动开合
","●电动开合
"
车顶行李架,"●
","●
","●
"
中控锁,"●遥控中控
","●遥控中控
","●遥控中控
"
智能钥匙,"●智能进入
●无钥匙启动
","●智能进入
●无钥匙启动
","●智能进入
●无钥匙启动
"
APP远程遥控功能,"-
","-
","-
"
远程启动功能,"-
","-
","-
"
主动闭合式进气格栅,"-
","-
","-
"
尾翼/扰流板,"●
","●
","●
"
内部配置
内饰材质,"●塑料
●皮质
●金属
●碳纤维
","●塑料
●皮质
●金属
●碳纤维
","●塑料
●皮质
●金属
●碳纤维
"
车内氛围灯,"●
","●
","●
"
遮阳板化妆镜,"●
","●
","●
"
方向盘材质,"●皮质
","●皮质
","●皮质
"
多功能方向盘,"●
","●
","●
"
方向盘调节,"●上下调节
●前后调节
","●上下调节
●前后调节
","●上下调节
●前后调节
"
方向盘加热,"-
","-
","-
"
方向盘换挡,"●
","●
","●
"
前排空调,"●双温区自动空调
","●双温区自动空调
","●双温区自动空调
"
后排空调,"●自动空调
","●自动空调
","●自动空调
"
车载空气净化器,"-
","-
","-
"
车内PM2.5过滤装置,"-
","-
","-
"
负离子发生器,"-
","-
","-
"
香氛系统,"-
","-
","-
"
车载冰箱,"-
","-
","-
"
主动降噪,"-
","-
","-
"
座椅配置
座椅材质,"●皮质
","●皮质
","●皮质
"
运动风格座椅,"●
","●
","●
"
主座椅电动调节,"●带记忆电动调节
","●带记忆电动调节
","●带记忆电动调节
"
副座椅电动调节,"●电动调节
","●电动调节
","●电动调节
"
主座椅调节方式,"●靠背调节
●高低调节
●腰部调节
●腿托调节
●前后调节
","●靠背调节
●高低调节
●腰部调节
●腿托调节
●前后调节
","●靠背调节
●高低调节
●腰部调节
●腿托调节
●前后调节
"
副座椅调节方式,"●靠背调节
●高低调节
●腰部调节
●腿托调节
●前后调节
","●靠背调节
●高低调节
●腰部调节
●腿托调节
●前后调节
","●靠背调节
●高低调节
●腰部调节
●腿托调节
●前后调节
"
第二排座椅电动调节,"-
","-
","-
"
第二排座椅调节方式,"-
","-
","-
"
前排座椅功能,"●加热
●按摩
○通风5000元
","●加热
●按摩
○通风5000元
","●加热
●按摩
○通风5000元
"
后排座椅功能,"○加热
","○加热
","○加热
"
前中央扶手,"●
","●
","●
"
后中央扶手,"●
","●
","●
"
第三排座椅,"-
","-
","-
"
座椅布局,"-
","-
","-
"
后排座椅放倒方式,"●比例放倒
","●比例放倒
","●比例放倒
"
后排杯架,"●
","●
","●
"
后排折叠桌板,"-
","-
","-
"
信息娱乐
中控彩色液晶屏,"●触控式液晶屏
","●触控式液晶屏
","●触控式液晶屏
"
液晶屏尺寸,"●10.1
","●10.1
","●10.1
"
全液晶仪表盘,"●
","●
","●
"
行车电脑显示屏,"●
","●
","●
"
液晶仪表尺寸,"12.3
","12.3
","12.3
"
HUD平视显示,"●
","●
","●
"
GPS导航系统,"●GPS导航
●实时路况
","●GPS导航
●实时路况
","●GPS导航
●实时路况
"
紧急道路救援,"●
","●
","●
"
蓝牙/WiFi连接,"●蓝牙
","●蓝牙
","●蓝牙
"
车载APP应用,"-
","-
","-
"
4G网络,"●
","●
","●
"
车载WiFi热点,"-
","-
","-
"
OTA升级,"-
","-
","-
"
语音控制,"●语音控制
","●语音控制
","●语音控制
"
手机互联,"●CarPlay
","●CarPlay
","●CarPlay
"
手机无线充电,"-
","-
","-
"
手势控制系统,"-
","-
","-
"
CD/DVD,"-
","-
","-
"
外接音源接口,"●USB
","●USB
","●USB
"
车载行车记录仪,"-
","-
","-
"
车载电视,"-
","-
","-
"
后排控制多媒体,"-
","-
","-
"
扬声器数量[个],"●12个以上
","●12个以上
","●12个以上
"
后排液晶屏,"-
","-
","-
"
音响品牌,"●B＆O
","●B＆O
","●B＆O
"
车载220V电源,"-
","-
","-
"
